School ID,EducationUnits,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
609836,Arthur E Canty Elementary School,703,455,13,33,1,201,Nan,Nan,Nan,Nan
609837,Andrew Carnegie Elementary School,660,1,653,1,1,4,Nan,Nan,Nan,Nan
609838,Philo Carpenter Elementary School,318,9,126,3,7,173,Nan,Nan,Nan,Nan
609839,Carroll-Rosenwald Specialty Elementary School,678,0,658,0,1,19,Nan,Nan,Nan,Nan
609842,Rachel Carson Elementary School,"1,305",8,73,0,0,"1,224",Nan,Nan,Nan,Nan
609844,William W Carter Elementary School,441,0,441,0,0,0,Nan,Nan,Nan,Nan
609845,George Washington Carver Primary School,483,0,479,0,0,4,Nan,Nan,Nan,Nan
609848,Ira F Aldridge Elementary School,270,0,268,0,1,1,Nan,Nan,Nan,Nan
609849,George F Cassell Elementary School,320,229,67,4,3,17,Nan,Nan,Nan,Nan
609850,Horace Greeley Elementary School,530,62,84,6,0,378,Nan,Nan,Nan,Nan
609851,Thomas Chalmers Specialty Elementary School,259,2,256,0,0,1,Nan,Nan,Nan,Nan
609852,Eliza Chappell Elementary School,423,78,31,46,1,267,Nan,Nan,Nan,Nan
609853,Salmon P Chase Elementary School,528,22,22,5,1,478,Nan,Nan,Nan,Nan
609854,Frederic Chopin Elementary School,313,15,35,3,0,260,Nan,Nan,Nan,Nan
609855,Walter S Christopher Elementary School,264,20,74,2,0,168,Nan,Nan,Nan,Nan
609856,Henry Clay Elementary School,687,146,76,4,3,458,Nan,Nan,Nan,Nan
609857,Grover Cleveland Elementary School,656,50,26,55,0,525,Nan,Nan,Nan,Nan
609859,DeWitt Clinton Elementary School,"1,243",200,155,465,5,418,Nan,Nan,Nan,Nan
609861,Henry R Clissold Elementary School,602,171,380,8,2,41,Nan,Nan,Nan,Nan
609862,Edward Coles Elementary Language Academy,625,1,620,0,1,3,Nan,Nan,Nan,Nan
609863,Christopher Columbus Elementary School,326,154,24,5,0,143,Nan,Nan,Nan,Nan
609864,John W Cook Elementary School,673,1,666,0,0,6,Nan,Nan,Nan,Nan
609865,Jordan Elementary Community School,701,8,287,3,1,402,Nan,Nan,Nan,Nan
609866,John C Coonley Elementary School,442,214,15,38,1,174,Nan,Nan,Nan,Nan
609867,Peter Cooper Elementary Dual Language Academy,734,7,8,3,0,716,Nan,Nan,Nan,Nan
609869,Nicholas Copernicus Elementary School,346,0,344,2,0,0,Nan,Nan,Nan,Nan
609870,Daniel J Corkery Elementary School,660,5,137,0,0,518,Nan,Nan,Nan,Nan
609871,Barbara Vick Early Childhood & Family Center,240,166,53,1,0,20,Nan,Nan,Nan,Nan
609872,Manuel Perez Elementary School,502,0,6,0,0,496,Nan,Nan,Nan,Nan
609873,Crown Community Academy of Fine Arts Center ES,352,1,333,0,0,18,Nan,Nan,Nan,Nan
609874,Everett McKinley Dirksen Elementary School,692,521,30,55,0,86,Nan,Nan,Nan,Nan
609875,Charles R Darwin Elementary School,682,28,68,5,0,581,Nan,Nan,Nan,Nan
609876,Nathan S Davis Elementary School,"1,546",24,15,4,2,"1,501",Nan,Nan,Nan,Nan
609879,Charles Gates Dawes Elementary School,"1,164",26,311,3,0,824,Nan,Nan,Nan,Nan
609880,Stephen Decatur Classical Elementary School,274,116,46,72,0,40,Nan,Nan,Nan,Nan
609881,Edward C Delano Elementary School,498,2,495,0,1,0,Nan,Nan,Nan,Nan
609883,Charles S Deneen Elementary School,511,2,508,0,0,1,Nan,Nan,Nan,Nan
609884,William E Dever Elementary School,780,480,19,21,5,255,Nan,Nan,Nan,Nan
609885,Dewey Elementary Academy of Fine Arts,431,0,425,0,0,6,Nan,Nan,Nan,Nan
609887,Arthur Dixon Elementary School,654,1,650,0,1,2,Nan,Nan,Nan,Nan
609888,Mary Mapes Dodge Elementary Renaissance Academy,432,0,431,0,0,1,Nan,Nan,Nan,Nan
609891,James R Doolittle Jr Elementary School,431,0,427,3,0,1,Nan,Nan,Nan,Nan
609893,John C Dore Elementary School,628,300,35,7,2,284,Nan,Nan,Nan,Nan
609894,John B Drake Elementary School,284,2,269,6,0,7,Nan,Nan,Nan,Nan
609895,Turner-Drew Elementary Language Academy,387,2,382,1,0,2,Nan,Nan,Nan,Nan
609896,Thomas Drummond Elementary School,276,100,21,9,0,146,Nan,Nan,Nan,Nan
