SchoolID,School,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
609793.00,Nicholson,570,1,559,0,1,5,1,1,2,0
609794.00,Edison,276,144,12,0,0,40,21,57,2,0
609795.00,Clark G. R.,279,5,170,0,3,93,4,2,2,0
609796.00,Beaubien,"1,166",447,20,3,6,450,56,163,5,16
609797.00,Beidler,463,0,452,0,1,9,1,0,0,0
609798.00,Belding,606,206,43,0,4,299,12,31,8,3
609799.00,Bell,"1,048",640,22,0,5,230,80,65,4,2
609800.00,Bennett,419,1,405,0,0,7,6,0,0,0
609803.00,Blaine,943,563,42,0,2,245,44,34,13,0
609804.00,Boone,805,176,82,0,3,364,9,169,1,1
609805.00,Joplin,484,1,472,0,0,5,3,0,0,3
609806.00,Bradwell,834,4,817,0,1,9,3,0,0,0
609807.00,Hampton,614,2,304,0,5,282,4,0,0,17
609808.00,Haley,651,1,634,0,0,11,4,0,0,1
609809.00,Brentano,411,20,18,0,1,355,2,1,0,14
