SchoolID,EducationUnits,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
609800.00,BENNETT,353.00,1.00,343.00,0.00,0.00,2.00,6.00,0.00,0.00,1.00
609803.00,BLAINE,912.00,555.00,51.00,0.00,1.00,214.00,42.00,40.00,9.00,0.00
609804.00,BOONE,828.00,172.00,72.00,0.00,2.00,376.00,7.00,198.00,0.00,1.00
609805.00,JOPLIN,416.00,0.00,409.00,0.00,0.00,6.00,0.00,0.00,0.00,1.00
609806.00,BRADWELL,704.00,5.00,677.00,0.00,0.00,20.00,2.00,0.00,0.00,0.00
609807.00,HAMPTON,571.00,1.00,268.00,0.00,4.00,277.00,7.00,0.00,0.00,14.00
609808.00,HALEY,562.00,3.00,555.00,0.00,0.00,2.00,1.00,1.00,0.00,0.00
609809.00,BRENTANO,443.00,39.00,15.00,0.00,0.00,374.00,5.00,2.00,6.00,2.00
609810.00,BRIDGE,1108.00,490.00,14.00,0.00,1.00,546.00,25.00,30.00,2.00,0.00
609811.00,BRIGHT,299.00,6.00,207.00,0.00,0.00,86.00,0.00,0.00,0.00,0.00
609812.00,BROWN W,271.00,1.00,251.00,0.00,1.00,11.00,0.00,1.00,1.00,5.00
609813.00,BROWNELL,228.00,0.00,218.00,0.00,0.00,9.00,1.00,0.00,0.00,0.00
609815.00,BOUCHET,649.00,0.00,638.00,0.00,0.00,4.00,6.00,0.00,0.00,1.00
